Taxa and Samples	BJ1-L	BJ2-L	BJ3-L	BJ4-L	BJ5-L	BJ6-L	LC1-L	LC2-L	LC3-L	LC4-L	LC5-L	LC6-L	S1-L	S2-L	S3-L	S4-L	S5-L	S6-L	TH1-L	TH2-L	TH3-L	TH4-L	TH5-L	TH6-L	TY1-L	TY2-L	TY3-L	TY4-L	TY5-L	TY6-L	YL1-L	YL2-L	YL3-L	YL4-L	YL5-L	YL6-L	ZZ1-L	ZZ2-L	ZZ3-L	ZZ4-L	ZZ5-L	ZZ6-L
853f84a13b37de1b8341407c8302fcf7	0	0	0	0	0	0	4.54702464	0	0	0	0	0	0	0	0	0	0	0	0	0	3.22392691	0	0	0	1.831678077	0	3.036545563	2.443912847	1.847632307	0	3.754887502	0	3.935522236	3.644413774	4.207231866	0	0	0	2.290614593	0	0	0
185cde2614158451355869126c7ae537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.086213292	3.428451463	0	3.29776695	0	0	0	0	0	0	0
8e5a7aae54aecb9b766d66dea95d6c35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.931856787	2.00299665	0	0	1.662619605	0	0	0	0	0	0	0	0	0	0	0	0	0
869c1a86b06daff9841542dcf1c611d3	1.145111132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.522638481	0	0	0	2.513250217	0	0	0	0	0	0
f4f3caefb1252043a22973635932ee49	3.305284585	2.924306837	4.857291878	0	0	0	5.48070798	5.832890014	0	4.896338893	3.860838539	0	3.872164294	3.487869367	6.131239749	4.3993524	6.551388606	4.582683197	10.13734	6.138414029	0	3.976397412	3.742802534	3.820597957	3.962474885	4.54206848	3.626872673	2.983397312	4.646254001	3.766707874	4.914883386	5.8310466	0	6.800206042	0	0	4.358590929	3.957082868	3.491058113	3.967631368	0	3.935029617
547d105bc077f0a3e74c8361aaf3dcaa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36923381	0	0	0	1.567104315	0	2.87363879	0	2.406644705	2.44815543	0	0
60ca3f9e3def40abbc2745d986c27404	1.775372273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.821997968	0	0	0	0	0	0	0	0	0	0	0	0	0	0.691201949	0	0	0
ff636963241b4d97e821d59c74499f83	2.081004745	0	1.594366604	3.37097252	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.611102638	1.07096398	0.495441492	0	0	0
da99dd1adae0bcbcb93018e77f3e0ca2	0	0	0	0	0	0	2.855240972	0	0	0	0	0	4.101799877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.268675852	2.673956447	2.522767739	0	0	0	0	0
09bea08262f3b2df86b56a91665310bb	0	0	1.726018625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.017069169	0	0	0	0	0	0	0	0	0	0	0	1.039034713	0	0	0	0	0
