Feature_ID	Taxon	Confidence	ASVs
ec17ef8b899b5bbb3ddbba9f1c5ad569	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae	0.995623575	ASV83
5bb47a58b1abedc0f441f7870d35f082	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus	0.999971096	ASV84
5c474535c5e923c66f0bdb3c220e9d5e	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus	0.995913613	ASV85
4e07ec478334527e160ae63d4d3722ad	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia	0.983540823	ASV86
b2ea8835e420973bec85c796a6539dd6	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum	0.999992777	ASV87
37d621378573fd083585e7dcb08cbf54	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum	0.999991264	ASV88
f2ababd5a4ad0c734f3d2b2204ee0b23	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae;Thalassospira	0.999987143	ASV89
b8a7f6fa183b20f400dd158029dcccdc	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia	0.96574698	ASV90
46791fe05445bc55b78cbab7dc62d95c	Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus	0.99955602	ASV91
2d170c12d3ff4a283acfbc6d00a8d7f2	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium]_brachy_group	0.996051439	ASV92
9cde2a396d5b121c168ae9fecdee2cd5	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	0.999857581	ASV93
df9f067c0169180a11a96bb1c225dc36	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Noviherbaspirillum	0.852060938	ASV94
4cebb901dc7b813c2b926423c53c7030	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseomonas	0.989842054	ASV95
fb5e53f0053fa5daf8e0c257a85323e3	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	0.998477968	ASV96
436579b105c523633562bb49c3f092cf	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus	0.999847063	ASV97
6c5401aa4c7f578a42316efa3c2f2ea7	Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineococcus	0.999591544	ASV98
ba889807291624e2a90973c15ce53f49	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	0.999227822	ASV99
1803f97340683074c32cb85e406131ae	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus	0.990326958	ASV100
b78f8bb9f8a2684ab4bfc646044c00ae	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas	0.99793821	ASV101
60b52e425097f5735ac804fcdde92016	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.965014046	ASV102
