,TH1-L,LC4-L,ZZ5-L,S6-L,ZZ6-L,LC5-L,S3-L,S5-L,ZZ2-L,S1-L,ZZ4-L,ZZ3-L,TY5-L,ZZ1-L,YL4-L,S2-L,YL5-L,BJ3-L,LC3-L,TY6-L,YL6-L,YL1-L,BJ1-L,YL2-L,BJ2-L,LC2-L,S4-L,BJ5-L,YL3-L,BJ6-L,BJ4-L,LC6-L,TY3-L,TH5-L,TY2-L,TH6-L,TY1-L,TY4-L,TH2-L,TH4-L,LC1-L,TH3-L
ZZ4-L,0.212033,0.207398,0.130114,0.228689,0.116118,0.266798,0.198557,0.240659,0.16161,0.268298,0,0.132103,0.221438,0.133307,0.208364,0.191883,0.21178,0.202798,0.267309,0.212413,0.219124,0.21334,0.196011,0.213455,0.199674,0.193653,0.262339,0.205174,0.209445,0.214282,0.187167,0.189815,0.209713,0.269898,0.214495,0.231409,0.220391,0.21456,0.20905,0.227957,0.266525,0.226485
ZZ3-L,0.227717,0.24066,0.071776,0.244259,0.116429,0.30329,0.210333,0.275329,0.091498,0.304809,0.132103,0,0.208109,0.107316,0.203803,0.184143,0.209596,0.201562,0.30369,0.218998,0.213275,0.214704,0.201928,0.216997,0.199327,0.21009,0.291282,0.218417,0.204032,0.226958,0.196215,0.202706,0.210226,0.304618,0.204051,0.241194,0.211092,0.203696,0.222044,0.248054,0.295647,0.252382
TY5-L,0.242064,0.261538,0.211311,0.213485,0.220568,0.332491,0.220508,0.301282,0.217535,0.333677,0.221438,0.208109,0,0.233794,0.144785,0.210763,0.134476,0.224285,0.332864,0.224444,0.084173,0.137021,0.224115,0.120152,0.225261,0.220372,0.295137,0.244304,0.102939,0.245738,0.217753,0.219854,0.097746,0.335858,0.114581,0.273567,0.092915,0.114834,0.23853,0.220386,0.297815,0.282313
ZZ1-L,0.220604,0.222312,0.130384,0.24451,0.096859,0.271181,0.209281,0.249587,0.138888,0.271128,0.133307,0.107316,0.233794,0,0.219733,0.198299,0.216994,0.21469,0.271659,0.211004,0.232619,0.230537,0.205609,0.221586,0.209938,0.212126,0.279053,0.205316,0.224211,0.225567,0.200215,0.206718,0.220306,0.269897,0.227939,0.225229,0.233397,0.226133,0.214763,0.243636,0.278624,0.22795
YL4-L,0.222825,0.239606,0.20676,0.214462,0.209441,0.312444,0.217115,0.282609,0.211287,0.314227,0.208364,0.203803,0.144785,0.219733,0,0.209655,0.184847,0.209931,0.312878,0.207767,0.128898,0.146739,0.208883,0.130057,0.206901,0.211486,0.282109,0.224864,0.12582,0.228681,0.20356,0.20775,0.160056,0.315766,0.105259,0.255558,0.147562,0.156431,0.219297,0.211505,0.285341,0.259422
S2-L,0.217622,0.232622,0.189583,0.214218,0.194892,0.27806,0.137287,0.254075,0.183412,0.280624,0.191883,0.184143,0.210763,0.198299,0.209655,0,0.191636,0.213078,0.278515,0.211453,0.208483,0.212559,0.202124,0.224699,0.197462,0.20019,0.261027,0.206057,0.207612,0.212913,0.195313,0.209482,0.197848,0.284775,0.206835,0.22527,0.207417,0.200396,0.203179,0.225814,0.265821,0.228809
YL5-L,0.235521,0.236259,0.214642,0.202505,0.217642,0.292333,0.195523,0.259662,0.196121,0.289195,0.21178,0.209596,0.134476,0.216994,0.184847,0.191636,0,0.223941,0.292883,0.215171,0.13048,0.179562,0.217247,0.197967,0.221134,0.213466,0.256521,0.225629,0.15975,0.228736,0.209036,0.213823,0.095059,0.300662,0.156091,0.25238,0.130029,0.137699,0.225758,0.219033,0.252293,0.247794
BJ3-L,0.195711,0.23915,0.199329,0.253205,0.209862,0.280454,0.233144,0.279334,0.205304,0.259851,0.202798,0.201562,0.224285,0.21469,0.209931,0.213078,0.223941,0,0.280889,0.228564,0.226949,0.221476,0.149743,0.223394,0.147286,0.226879,0.304808,0.178732,0.222601,0.186098,0.173766,0.220469,0.223183,0.272157,0.220376,0.210981,0.221968,0.228487,0.211308,0.252457,0.2992,0.229647
LC3-L,0.270373,0.271581,0.298535,0.301798,0.283493,0.003518,0.282792,0.260255,0.268276,0.272792,0.267309,0.30369,0.332864,0.271659,0.312878,0.278515,0.292883,0.280889,0,0.278137,0.324478,0.31227,0.272243,0.302314,0.279236,0.285518,0.308307,0.270574,0.318991,0.262511,0.270517,0.273532,0.301393,0.255836,0.322743,0.25988,0.325469,0.325594,0.277321,0.308547,0.303321,0.265815
TY6-L,0.230584,0.231078,0.220694,0.222196,0.215871,0.27768,0.215116,0.256311,0.203435,0.277079,0.212413,0.218998,0.224444,0.211004,0.207767,0.211453,0.215171,0.228564,0.278137,0,0.21895,0.219674,0.223648,0.206589,0.216266,0.213601,0.263424,0.227637,0.221246,0.222858,0.221322,0.220022,0.208183,0.272147,0.222065,0.244237,0.227174,0.217437,0.223487,0.225224,0.266307,0.23861
YL6-L,0.23812,0.253539,0.216448,0.206399,0.223744,0.324069,0.212468,0.290528,0.216719,0.329575,0.219124,0.213275,0.084173,0.232619,0.128898,0.208483,0.13048,0.226949,0.324478,0.21895,0,0.128564,0.224382,0.135986,0.222377,0.216899,0.288784,0.241851,0.090726,0.239348,0.218519,0.217155,0.08956,0.331954,0.105921,0.271616,0.083309,0.115274,0.233089,0.213234,0.293993,0.275706
YL1-L,0.233931,0.245763,0.216746,0.209526,0.219106,0.311879,0.218907,0.273952,0.217744,0.315649,0.21334,0.214704,0.137021,0.230537,0.146739,0.212559,0.179562,0.221476,0.31227,0.219674,0.128564,0,0.214392,0.162501,0.217286,0.210946,0.269788,0.232512,0.137408,0.23268,0.210488,0.205384,0.138554,0.314607,0.126,0.261513,0.113985,0.120242,0.228527,0.206143,0.276529,0.263723
BJ1-L,0.182876,0.21931,0.20283,0.237475,0.201839,0.271814,0.218545,0.255939,0.203002,0.233519,0.196011,0.201928,0.224115,0.205609,0.208883,0.202124,0.217247,0.149743,0.272243,0.223648,0.224382,0.214392,0,0.21968,0.1504,0.210421,0.278451,0.165546,0.217051,0.185523,0.172248,0.20361,0.215512,0.260684,0.217447,0.202197,0.222326,0.222526,0.197032,0.237599,0.276229,0.211204
YL2-L,0.229552,0.238844,0.218171,0.211131,0.217825,0.30182,0.224631,0.269936,0.211651,0.30167,0.213455,0.216997,0.120152,0.221586,0.130057,0.224699,0.197967,0.223394,0.302314,0.206589,0.135986,0.162501,0.21968,0,0.21942,0.217233,0.268882,0.237047,0.112538,0.237735,0.221183,0.213526,0.14988,0.303613,0.154576,0.261085,0.160251,0.176861,0.230018,0.203324,0.27608,0.261968
BJ2-L,0.189584,0.229644,0.202503,0.246358,0.203224,0.278745,0.219596,0.264974,0.204497,0.247623,0.199674,0.199327,0.225261,0.209938,0.206901,0.197462,0.221134,0.147286,0.279236,0.216266,0.222377,0.217286,0.1504,0.21942,0,0.21869,0.292132,0.17929,0.217741,0.197461,0.177099,0.215786,0.220607,0.269877,0.216834,0.211271,0.222077,0.225502,0.198216,0.247163,0.287961,0.21844
LC2-L,0.212422,0.200382,0.213335,0.170064,0.209329,0.285042,0.200786,0.244892,0.201651,0.289401,0.193653,0.21009,0.220372,0.212126,0.211486,0.20019,0.213466,0.226879,0.285518,0.213601,0.216899,0.210946,0.210421,0.217233,0.21869,0,0.201717,0.225558,0.2151,0.214765,0.207758,0.150157,0.207771,0.291202,0.219197,0.249234,0.218716,0.217842,0.209539,0.182135,0.216467,0.242543
S4-L,0.296799,0.269624,0.298041,0.237082,0.284937,0.307812,0.238153,0.224712,0.254396,0.293737,0.262339,0.291282,0.295137,0.279053,0.282109,0.261027,0.256521,0.304808,0.308307,0.263424,0.288784,0.269788,0.278451,0.268882,0.292132,0.201717,0,0.286832,0.2884,0.269398,0.26603,0.214468,0.249454,0.313243,0.292192,0.310366,0.291752,0.282432,0.289951,0.230525,0.098605,0.283522
BJ5-L,0.202933,0.219422,0.224969,0.247713,0.209565,0.270121,0.224848,0.2539,0.214642,0.233021,0.205174,0.218417,0.244304,0.205316,0.224864,0.206057,0.225629,0.178732,0.270574,0.227637,0.241851,0.232512,0.165546,0.237047,0.17929,0.225558,0.286832,0,0.236553,0.182032,0.194304,0.220565,0.231843,0.265627,0.233909,0.200751,0.238162,0.237372,0.197258,0.245545,0.278016,0.196442
YL3-L,0.23079,0.243758,0.205762,0.210141,0.214872,0.318609,0.213543,0.285471,0.210654,0.321558,0.209445,0.204032,0.102939,0.224211,0.12582,0.207612,0.15975,0.222601,0.318991,0.221246,0.090726,0.137408,0.217051,0.112538,0.217741,0.2151,0.2884,0.236553,0,0.236655,0.210926,0.208232,0.116445,0.325669,0.10032,0.266229,0.108707,0.135068,0.228272,0.209783,0.293918,0.270459
BJ6-L,0.217911,0.236349,0.223328,0.230235,0.228077,0.262105,0.22331,0.247638,0.214046,0.262616,0.214282,0.226958,0.245738,0.225567,0.228681,0.212913,0.228736,0.186098,0.262511,0.222858,0.239348,0.23268,0.185523,0.237735,0.197461,0.214765,0.269398,0.182032,0.236655,0,0.200299,0.217133,0.228736,0.26479,0.236259,0.229101,0.23841,0.240281,0.219255,0.238336,0.269951,0.229137
BJ4-L,0.197236,0.225005,0.19761,0.235701,0.189052,0.270081,0.207551,0.250337,0.198301,0.249804,0.187167,0.196215,0.217753,0.200215,0.20356,0.195313,0.209036,0.173766,0.270517,0.221322,0.218519,0.210488,0.172248,0.221183,0.177099,0.207758,0.26603,0.194304,0.210926,0.200299,0,0.202022,0.210589,0.27163,0.208524,0.221298,0.214951,0.215521,0.206914,0.233953,0.269493,0.226768
LC6-L,0.204157,0.195301,0.208316,0.192171,0.205491,0.273115,0.21471,0.246971,0.200635,0.288436,0.189815,0.202706,0.219854,0.206718,0.20775,0.209482,0.213823,0.220469,0.273532,0.220022,0.217155,0.205384,0.20361,0.213526,0.215786,0.150157,0.214468,0.220565,0.208232,0.217133,0.202022,0,0.208249,0.288648,0.214383,0.242381,0.216455,0.214439,0.203999,0.179049,0.237966,0.240929
TY3-L,0.233234,0.233778,0.214745,0.193724,0.217089,0.300891,0.197861,0.257375,0.196512,0.297165,0.209713,0.210226,0.097746,0.220306,0.160056,0.197848,0.095059,0.223183,0.301393,0.208183,0.08956,0.138554,0.215512,0.14988,0.220607,0.207771,0.249454,0.231843,0.116445,0.228736,0.210589,0.208249,0,0.305118,0.127803,0.258041,0.100674,0.105453,0.228272,0.205178,0.255845,0.254508
TH5-L,0.244089,0.269358,0.299208,0.318188,0.282819,0.255327,0.29418,0.273,0.272136,0.255841,0.269898,0.304618,0.335858,0.269897,0.315766,0.284775,0.300662,0.272157,0.255836,0.272147,0.331954,0.314607,0.260684,0.303613,0.269877,0.291202,0.313243,0.265627,0.325669,0.26479,0.27163,0.288648,0.305118,0,0.328706,0.191692,0.332636,0.325298,0.2437,0.314238,0.316185,0.227029
TY2-L,0.233932,0.250947,0.207378,0.216163,0.217623,0.322353,0.216676,0.291974,0.213219,0.325269,0.214495,0.204051,0.114581,0.227939,0.105259,0.206835,0.156091,0.220376,0.322743,0.222065,0.105921,0.126,0.217447,0.154576,0.216834,0.219197,0.292192,0.233909,0.10032,0.236259,0.208524,0.214383,0.127803,0.328706,0,0.266282,0.114583,0.126449,0.22826,0.220188,0.296366,0.270605
TH6-L,0.153598,0.236378,0.237396,0.271714,0.230275,0.259387,0.250923,0.274583,0.22885,0.257023,0.231409,0.241194,0.273567,0.225229,0.255558,0.22527,0.25238,0.210981,0.25988,0.244237,0.271616,0.261513,0.202197,0.261085,0.211271,0.249234,0.310366,0.200751,0.266229,0.229101,0.221298,0.242381,0.258041,0.191692,0.266282,0,0.27184,0.263495,0.160576,0.272961,0.302068,0.163551
TY1-L,0.238687,0.255198,0.214727,0.209984,0.224027,0.325096,0.215628,0.292608,0.218599,0.329445,0.220391,0.211092,0.092915,0.233397,0.147562,0.207417,0.130029,0.221968,0.325469,0.227174,0.083309,0.113985,0.222326,0.160251,0.222077,0.218716,0.291752,0.238162,0.108707,0.23841,0.214951,0.216455,0.100674,0.332636,0.114583,0.27184,0,0.124421,0.232984,0.21775,0.293094,0.276429
TY4-L,0.244513,0.255119,0.210896,0.215719,0.218323,0.325183,0.214391,0.285855,0.208924,0.321393,0.21456,0.203696,0.114834,0.226133,0.156431,0.200396,0.137699,0.228487,0.325594,0.217437,0.115274,0.120242,0.222526,0.176861,0.225502,0.217842,0.282432,0.237372,0.135068,0.240281,0.215521,0.214439,0.105453,0.325298,0.126449,0.263495,0.124421,0,0.236022,0.222447,0.2899,0.267999
TH2-L,0.140629,0.204021,0.222506,0.223752,0.211128,0.276823,0.224638,0.26657,0.218622,0.2709,0.20905,0.222044,0.23853,0.214763,0.219297,0.203179,0.225758,0.211308,0.277321,0.223487,0.233089,0.228527,0.197032,0.230018,0.198216,0.209539,0.289951,0.197258,0.228272,0.219255,0.206914,0.203999,0.228272,0.2437,0.22826,0.160576,0.232984,0.236022,0,0.210836,0.287615,0.116046
TH4-L,0.21233,0.18724,0.250877,0.140192,0.242128,0.3082,0.203822,0.250777,0.230343,0.292462,0.227957,0.248054,0.220386,0.243636,0.211505,0.225814,0.219033,0.252457,0.308547,0.225224,0.213234,0.206143,0.237599,0.203324,0.247163,0.182135,0.230525,0.245545,0.209783,0.238336,0.233953,0.179049,0.205178,0.314238,0.220188,0.272961,0.21775,0.222447,0.210836,0,0.24116,0.25791
LC1-L,0.290798,0.267861,0.30052,0.237477,0.284041,0.302804,0.239921,0.240737,0.259238,0.286101,0.266525,0.295647,0.297815,0.278624,0.285341,0.265821,0.252293,0.2992,0.303321,0.266307,0.293993,0.276529,0.276229,0.27608,0.287961,0.216467,0.098605,0.278016,0.293918,0.269951,0.269493,0.237966,0.255845,0.316185,0.296366,0.302068,0.293094,0.2899,0.287615,0.24116,0,0.276659
TH3-L,0.168527,0.216088,0.254957,0.263931,0.231604,0.265217,0.238974,0.249637,0.231936,0.240734,0.226485,0.252382,0.282313,0.22795,0.259422,0.228809,0.247794,0.229647,0.265815,0.23861,0.275706,0.263723,0.211204,0.261968,0.21844,0.242543,0.283522,0.196442,0.270459,0.229137,0.226768,0.240929,0.254508,0.227029,0.270605,0.163551,0.276429,0.267999,0.116046,0.25791,0.276659,0
